Energy Residual Energy_error Residual_error
238.632 0.1274518630135065 0.002 0.15185976832564005
277.37 0.1363317194676735 0.02 0.18973853922889275
300.089 -0.1239422764709787 0.012 0.16026876927625272
583.187 -0.04437649441124089 0.002 0.11978279677273983
727.33 0.09557120023513799 0.01 0.1348570543337119
763.45 0.5622191932137193 0.02 0.17226105426309918
785.37 -0.8897368056907898 0.09 0.5599756358227084
860.53 -0.11759777573705749 0.02 0.17772343303512772
1620.738 -0.009811328234975698 0.01 0.268368891565559
2614.511 0.2389647297351318 0.01 0.48683809702647945
