|  <sup>234</sup>Th  |  92.6  |  0.0433  |  0.0258  |  0.00112  |  |
|  <sup>212</sup>Pb  |  238.632  |  0.436  |  0.0462  |  0.0201  |  |
|  <sup>214</sup>Pb  |  295.224  |  0.184  |  0.0507  |  0.00933  |  |
|  <sup>228</sup>Ac  |  338.32  |  0.114  |  0.0469  |  0.00534  |  |
|  <sup>214</sup>Pb  |  351.932  |  0.356  |  0.0469  |  0.0167  |  |
|  <sup>208</sup>Tl  |  583.187  |  0.3054  |  0.0263  |  0.00802  |  |
|  <sup>214</sup>Bi  |  609.312  |  0.4549  |  0.0307  |  0.0140  |  |
|  <sup>137</sup>Cs  |  661.657  |  0.8499  |  0.0405  |  0.0344  |  |
|  <sup>54</sup>Mn  |  834.838  |  0.999746  |  0.0379  |  0.0379  |  |
|  <sup>46</sup>Sc  |  889.271  |  0.99984  |  0.0305  |  0.0305  |  |
|  <sup>228</sup>Ac  |  911.196  |  0.262  |  0.0254  |  0.00665  |  |
|  <sup>228</sup>Ac  |  968.96  |  0.159  |  0.0251  |  0.00399  |  |
|  <sup>234m</sup>Pa  |  1001.03  |  0.00846  |  0.0345  |  0.000292  |  |
|  <sup>214</sup>Bi  |  1120.29  |  0.1491  |  0.0222  |  0.00331  |  |
|  <sup>46</sup>Sc  |  1120.54  |  0.99987  |  0.0267  |  0.0267  |  |
|  <sup>60</sup>Co  |  1173.23  |  0.9985  |  0.0264  |  0.0263  |  |
|  <sup>60</sup>Co  |  1332.49  |  0.9998  |  0.0244  |  0.0244  |  |
|  <sup>58</sup>Co  |  810.775  |  0.99  |  0.0364  |  0.0360  |  |
|  <sup>56</sup>Co  |  846.771  |  1  |  0.0260  |  0.0260  |  |
|  <sup>56</sup>Co  |  1238.28  |  0.676  |  0  |  0  |  |
|  <sup>40</sup>K  |  1460.88  |  0.1055  |  0.0275  |  0.00290  |  |
|  <sup>214</sup>Bi  |  1764.49  |  0.1531  |  0.0206  |  0.00316  |  |
|  <sup>208</sup>Tl  |  2614.51  |  0.3584  |  0.0107  |  0.00382  |  |
