|  <sup>234</sup>Th  |  92.6  |  0.0433  |  0.00356  |  0.000154  |  |
|  <sup>235</sup>U  |  185.72  |  0.572  |  0.000571  |  0.000326  |  |
|  <sup>212</sup>Pb  |  238.632  |  0.436  |  0.0107  |  0.00465  |  |
|  <sup>214</sup>Pb  |  295.224  |  0.184  |  0.0110  |  0.00203  |  |
|  <sup>228</sup>Ac  |  338.32  |  0.114  |  0.0107  |  0.00122  |  |
|  <sup>214</sup>Pb  |  351.932  |  0.356  |  0.0105  |  0.00375  |  |
|  <sup>208</sup>Tl  |  583.187  |  0.3054  |  0.00773  |  0.00236  |  |
|  <sup>214</sup>Bi  |  609.312  |  0.4549  |  0.00795  |  0.00362  |  |
|  <sup>137</sup>Cs  |  661.657  |  0.8499  |  0.00840  |  0.00714  |  |
|  <sup>54</sup>Mn  |  834.838  |  0.999746  |  0.00760  |  0.00759  |  |
|  <sup>46</sup>Sc  |  889.271  |  0.99984  |  0.00710  |  0.00709  |  |
|  <sup>228</sup>Ac  |  911.196  |  0.262  |  0.00638  |  0.00167  |  |
|  <sup>228</sup>Ac  |  968.96  |  0.159  |  0.00639  |  0.00102  |  |
|  <sup>234m</sup>Pa  |  1001.03  |  0.00846  |  0.00702  |  0.0000593  |  |
|  <sup>214</sup>Bi  |  1120.29  |  0.1491  |  0.00605  |  0.000902  |  |
|  <sup>46</sup>Sc  |  1120.54  |  0.99987  |  0.00635  |  0.00635  |  |
|  <sup>60</sup>Co  |  1173.23  |  0.9985  |  0.00623  |  0.00622  |  |
|  <sup>60</sup>Co  |  1332.49  |  0.9998  |  0.00589  |  0.00589  |  |
|  <sup>58</sup>Co  |  810.775  |  0.99  |  0.00763  |  0.00755  |  |
|  <sup>56</sup>Co  |  846.771  |  1  |  0.00694  |  0.00694  |  |
|  <sup>56</sup>Co  |  1238.28  |  0.676  |  0  |  0  |  |
|  <sup>40</sup>K  |  1460.88  |  0.1055  |  0.00585  |  0.000618  |  |
|  <sup>214</sup>Bi  |  1764.49  |  0.1531  |  0.00498  |  0.000763  |  |
|  <sup>208</sup>Tl  |  2614.51  |  0.3584  |  0.00358  |  0.00128  |  |
