|  <sup>234</sup>Th  |  92.6  |  0.0433  |  0.00962  |  0.000416  |  |
|  <sup>235</sup>U  |  185.72  |  0.572  |  0.000870  |  0.000498  |  |
|  <sup>212</sup>Pb  |  238.632  |  0.436  |  0.0160  |  0.00697  |  |
|  <sup>214</sup>Pb  |  295.224  |  0.184  |  0.0163  |  0.00301  |  |
|  <sup>228</sup>Ac  |  338.32  |  0.114  |  0.0157  |  0.00178  |  |
|  <sup>214</sup>Pb  |  351.932  |  0.356  |  0.0153  |  0.00546  |  |
|  <sup>208</sup>Tl  |  583.187  |  0.3054  |  0.0106  |  0.00323  |  |
|  <sup>214</sup>Bi  |  609.312  |  0.4549  |  0.0111  |  0.00505  |  |
|  <sup>137</sup>Cs  |  661.657  |  0.8499  |  0.0122  |  0.0103  |  |
|  <sup>228</sup>Ac  |  911.196  |  0.262  |  0.00880  |  0.00231  |  |
|  <sup>228</sup>Ac  |  968.96  |  0.159  |  0.00869  |  0.00138  |  |
|  <sup>214</sup>Bi  |  1120.29  |  0.1491  |  0.00824  |  0.00123  |  |
|  <sup>60</sup>Co  |  1173.23  |  0.9985  |  0.00866  |  0.00864  |  |
|  <sup>60</sup>Co  |  1332.49  |  0.9998  |  0.00811  |  0.00811  |  |
|  <sup>40</sup>K  |  1460.88  |  0.1055  |  0.00821  |  0.000866  |  |
|  <sup>214</sup>Bi  |  1764.49  |  0.1531  |  0.00690  |  0.00106  |  |
|  <sup>208</sup>Tl  |  2614.51  |  0.3584  |  0.00466  |  0.00167  |  |
